WARNING 2025-03-19 15:06:07,657 basehttp 15272 12532 "GET /api/v1/users/users/me/ HTTP/1.1" 401 172
INFO 2025-03-19 15:06:29,170 basehttp 15272 12532 "POST /api/v1/users/login/ HTTP/1.1" 200 755
WARNING 2025-03-19 15:06:29,177 log 15272 12532 Unauthorized: /api/v1/users/users/me/
WARNING 2025-03-19 15:06:29,177 basehttp 15272 12532 "GET /api/v1/users/users/me/ HTTP/1.1" 401 172
INFO 2025-03-19 15:06:32,103 basehttp 15272 12532 "POST /api/v1/users/login/ HTTP/1.1" 200 755
WARNING 2025-03-19 15:06:32,109 log 15272 12532 Unauthorized: /api/v1/users/users/me/
WARNING 2025-03-19 15:06:32,110 basehttp 15272 12532 "GET /api/v1/users/users/me/ HTTP/1.1" 401 172
WARNING 2025-03-19 15:07:21,482 log 15272 17868 Bad Request: /api/v1/users/login/
WARNING 2025-03-19 15:07:21,482 basehttp 15272 17868 "POST /api/v1/users/login/ HTTP/1.1" 400 76
WARNING 2025-03-19 15:07:24,699 log 15272 17868 Bad Request: /api/v1/users/login/
WARNING 2025-03-19 15:07:24,700 basehttp 15272 17868 "POST /api/v1/users/login/ HTTP/1.1" 400 76
WARNING 2025-03-19 15:08:27,288 log 15272 17868 Bad Request: /api/v1/users/login/
WARNING 2025-03-19 15:08:27,289 basehttp 15272 17868 "POST /api/v1/users/login/ HTTP/1.1" 400 86
WARNING 2025-03-19 15:08:39,436 log 15272 17868 Bad Request: /api/v1/users/login/
WARNING 2025-03-19 15:08:39,436 basehttp 15272 17868 "POST /api/v1/users/login/ HTTP/1.1" 400 86
WARNING 2025-03-19 15:09:52,084 log 15272 17868 Bad Request: /api/v1/users/login/
WARNING 2025-03-19 15:09:52,085 basehttp 15272 17868 "POST /api/v1/users/login/ HTTP/1.1" 400 86
WARNING 2025-03-19 15:10:02,126 log 15272 17868 Bad Request: /api/v1/users/login/
WARNING 2025-03-19 15:10:02,127 basehttp 15272 17868 "POST /api/v1/users/login/ HTTP/1.1" 400 86
INFO 2025-03-19 15:10:46,660 basehttp 15272 12016 "GET /admin/ HTTP/1.1" 302 0
INFO 2025-03-19 15:10:46,678 basehttp 15272 12016 "GET /admin/login/?next=/admin/ HTTP/1.1" 200 4169
INFO 2025-03-19 15:10:46,703 basehttp 15272 12016 "GET /static/admin/css/base.css HTTP/1.1" 304 0
INFO 2025-03-19 15:10:46,706 basehttp 15272 12016 "GET /static/admin/css/login.css HTTP/1.1" 200 951
INFO 2025-03-19 15:10:46,708 basehttp 15272 12016 "GET /static/admin/css/dark_mode.css HTTP/1.1" 304 0
INFO 2025-03-19 15:10:46,710 basehttp 15272 12016 "GET /static/admin/css/nav_sidebar.css HTTP/1.1" 304 0
INFO 2025-03-19 15:10:46,713 basehttp 15272 12016 "GET /static/admin/css/responsive.css HTTP/1.1" 304 0
INFO 2025-03-19 15:10:46,715 basehttp 15272 12016 "GET /static/admin/js/theme.js HTTP/1.1" 304 0
INFO 2025-03-19 15:10:46,790 basehttp 15272 12016 "GET /static/admin/js/nav_sidebar.js HTTP/1.1" 304 0
WARNING 2025-03-19 15:10:46,922 log 15272 12016 Not Found: /favicon.ico
WARNING 2025-03-19 15:10:46,922 basehttp 15272 12016 "GET /favicon.ico HTTP/1.1" 404 2874
INFO 2025-03-19 15:10:59,984 basehttp 15272 12016 "POST /admin/login/?next=/admin/ HTTP/1.1" 302 0
INFO 2025-03-19 15:11:00,051 basehttp 15272 12016 "GET /admin/ HTTP/1.1" 200 28251
INFO 2025-03-19 15:11:00,077 basehttp 15272 12016 "GET /static/admin/css/dashboard.css HTTP/1.1" 200 441
